ID,src_label,src_id,dst_label,dst_id,label,timestamp,event_type
1,bng,4ca0b5ba,trunk,26b8dd58,HAS_PORT,0,add
2,bng,03de2daa,trunk,f0d10be5,HAS_PORT,0,add
3,concentrator,18ce6022,trunk,26b8dd58,DEPENDS_ON,0,add
4,concentrator,18ce6022,trunk,f0d10be5,DEPENDS_ON,0,add
5,concentrator,18ce6022,port,3e035c11,HAS_PORT,0,add
6,cpe,62cc68dc,port,3e035c11,DEPENDS_ON,0,add
7,cpe,62cc68dc,trunk,26b8dd58,DEPENDS_ON,0,add
8,cpe,62cc68dc,trunk,f0d10be5,DEPENDS_ON,0,add
9,sa,3d1d29dd,cpe,62cc68dc,DEPENDS_ON,0,add
10,sa,3d1d29dd,location,1309,INSTALLED_AT,0,add
11,concentrator,18ce6022,port,874b7464,HAS_PORT,0,add
12,cpe,d71c517b,port,874b7464,DEPENDS_ON,0,add
13,cpe,d71c517b,trunk,26b8dd58,DEPENDS_ON,0,add
14,cpe,d71c517b,trunk,f0d10be5,DEPENDS_ON,0,add
15,sa,375db7c7,cpe,d71c517b,DEPENDS_ON,0,add
16,sa,375db7c7,location,228,INSTALLED_AT,0,add
17,concentrator,18ce6022,port,d7126c8a,HAS_PORT,0,add
18,cpe,b51ae25f,port,d7126c8a,DEPENDS_ON,0,add
19,cpe,b51ae25f,trunk,26b8dd58,DEPENDS_ON,0,add
20,cpe,b51ae25f,trunk,f0d10be5,DEPENDS_ON,0,add
21,sa,b91accb7,cpe,b51ae25f,DEPENDS_ON,0,add
22,sa,b91accb7,location,51,INSTALLED_AT,0,add
23,concentrator,18ce6022,port,7dbf04b4,HAS_PORT,0,add
24,cpe,ecdea7bc,port,7dbf04b4,DEPENDS_ON,0,add
25,cpe,ecdea7bc,trunk,26b8dd58,DEPENDS_ON,0,add
26,cpe,ecdea7bc,trunk,f0d10be5,DEPENDS_ON,0,add
27,sa,0bf98607,cpe,ecdea7bc,DEPENDS_ON,0,add
28,sa,0bf98607,location,1518,INSTALLED_AT,0,add
29,concentrator,18ce6022,port,a0659b5f,HAS_PORT,0,add
30,cpe,358ec469,port,a0659b5f,DEPENDS_ON,0,add
31,cpe,358ec469,trunk,26b8dd58,DEPENDS_ON,0,add
32,cpe,358ec469,trunk,f0d10be5,DEPENDS_ON,0,add
33,sa,4bcc9429,cpe,358ec469,DEPENDS_ON,0,add
34,sa,4bcc9429,location,563,INSTALLED_AT,0,add
35,concentrator,18ce6022,port,b9b81cd9,HAS_PORT,0,add
36,cpe,36ddf89e,port,b9b81cd9,DEPENDS_ON,0,add
37,cpe,36ddf89e,trunk,26b8dd58,DEPENDS_ON,0,add
38,cpe,36ddf89e,trunk,f0d10be5,DEPENDS_ON,0,add
39,sa,bb5f6b0c,cpe,36ddf89e,DEPENDS_ON,0,add
40,sa,bb5f6b0c,location,501,INSTALLED_AT,0,add
41,concentrator,18ce6022,port,a2bd1ec7,HAS_PORT,0,add
42,cpe,ae8ae23d,port,a2bd1ec7,DEPENDS_ON,0,add
43,cpe,ae8ae23d,trunk,26b8dd58,DEPENDS_ON,0,add
44,cpe,ae8ae23d,trunk,f0d10be5,DEPENDS_ON,0,add
45,sa,a48c045d,cpe,ae8ae23d,DEPENDS_ON,0,add
46,sa,a48c045d,location,457,INSTALLED_AT,0,add
47,concentrator,18ce6022,port,43367609,HAS_PORT,0,add
48,cpe,052b5ce9,port,43367609,DEPENDS_ON,0,add
49,cpe,052b5ce9,trunk,26b8dd58,DEPENDS_ON,0,add
50,cpe,052b5ce9,trunk,f0d10be5,DEPENDS_ON,0,add
51,sa,20f6c73e,cpe,052b5ce9,DEPENDS_ON,0,add
52,sa,20f6c73e,location,285,INSTALLED_AT,0,add
53,concentrator,18ce6022,port,243bd4e8,HAS_PORT,0,add
54,cpe,d56b985a,port,243bd4e8,DEPENDS_ON,0,add
55,cpe,d56b985a,trunk,26b8dd58,DEPENDS_ON,0,add
56,cpe,d56b985a,trunk,f0d10be5,DEPENDS_ON,0,add
57,sa,4b357a89,cpe,d56b985a,DEPENDS_ON,0,add
58,sa,4b357a89,location,1508,INSTALLED_AT,0,add
59,concentrator,18ce6022,port,4b8c06b3,HAS_PORT,0,add
60,cpe,5aa6bd0c,port,4b8c06b3,DEPENDS_ON,0,add
61,cpe,5aa6bd0c,trunk,26b8dd58,DEPENDS_ON,0,add
62,cpe,5aa6bd0c,trunk,f0d10be5,DEPENDS_ON,0,add
63,sa,01f58495,cpe,5aa6bd0c,DEPENDS_ON,0,add
64,sa,01f58495,location,209,INSTALLED_AT,0,add
65,concentrator,18ce6022,port,8e27e686,HAS_PORT,0,add
66,cpe,9f4b7fb8,port,8e27e686,DEPENDS_ON,0,add
67,cpe,9f4b7fb8,trunk,26b8dd58,DEPENDS_ON,0,add
68,cpe,9f4b7fb8,trunk,f0d10be5,DEPENDS_ON,0,add
69,sa,a2918033,cpe,9f4b7fb8,DEPENDS_ON,0,add
70,sa,a2918033,location,1385,INSTALLED_AT,0,add
71,concentrator,18ce6022,port,1bad7439,HAS_PORT,0,add
72,cpe,6be19546,port,1bad7439,DEPENDS_ON,0,add
73,cpe,6be19546,trunk,26b8dd58,DEPENDS_ON,0,add
74,cpe,6be19546,trunk,f0d10be5,DEPENDS_ON,0,add
75,sa,66e2e760,cpe,6be19546,DEPENDS_ON,0,add
76,sa,66e2e760,location,1516,INSTALLED_AT,0,add
77,concentrator,18ce6022,port,3f6a3392,HAS_PORT,0,add
78,cpe,a10959c2,port,3f6a3392,DEPENDS_ON,0,add
79,cpe,a10959c2,trunk,26b8dd58,DEPENDS_ON,0,add
80,cpe,a10959c2,trunk,f0d10be5,DEPENDS_ON,0,add
81,sa,4e19c180,cpe,a10959c2,DEPENDS_ON,0,add
82,sa,4e19c180,location,1827,INSTALLED_AT,0,add
83,concentrator,18ce6022,port,02283771,HAS_PORT,0,add
84,cpe,c1b4af17,port,02283771,DEPENDS_ON,0,add
85,cpe,c1b4af17,trunk,26b8dd58,DEPENDS_ON,0,add
86,cpe,c1b4af17,trunk,f0d10be5,DEPENDS_ON,0,add
87,sa,41a27297,cpe,c1b4af17,DEPENDS_ON,0,add
88,sa,41a27297,location,1116,INSTALLED_AT,0,add
89,concentrator,18ce6022,port,41aa893f,HAS_PORT,0,add
90,cpe,55302e21,port,41aa893f,DEPENDS_ON,0,add
91,cpe,55302e21,trunk,26b8dd58,DEPENDS_ON,0,add
92,cpe,55302e21,trunk,f0d10be5,DEPENDS_ON,0,add
93,sa,ad699631,cpe,55302e21,DEPENDS_ON,0,add
94,sa,ad699631,location,178,INSTALLED_AT,0,add
95,concentrator,18ce6022,port,8907b012,HAS_PORT,0,add
96,cpe,2a375a62,port,8907b012,DEPENDS_ON,0,add
97,cpe,2a375a62,trunk,26b8dd58,DEPENDS_ON,0,add
98,cpe,2a375a62,trunk,f0d10be5,DEPENDS_ON,0,add
99,sa,cea20ef8,cpe,2a375a62,DEPENDS_ON,0,add
100,sa,cea20ef8,location,1209,INSTALLED_AT,0,add
101,concentrator,18ce6022,port,13cf08f0,HAS_PORT,0,add
102,cpe,75871551,port,13cf08f0,DEPENDS_ON,0,add
103,cpe,75871551,trunk,26b8dd58,DEPENDS_ON,0,add
104,cpe,75871551,trunk,f0d10be5,DEPENDS_ON,0,add
105,sa,39c21b2b,cpe,75871551,DEPENDS_ON,0,add
106,sa,39c21b2b,location,864,INSTALLED_AT,0,add
107,concentrator,18ce6022,port,6b5d1613,HAS_PORT,0,add
108,cpe,bef8d14f,port,6b5d1613,DEPENDS_ON,0,add
109,cpe,bef8d14f,trunk,26b8dd58,DEPENDS_ON,0,add
110,cpe,bef8d14f,trunk,f0d10be5,DEPENDS_ON,0,add
111,sa,6d61cc44,cpe,bef8d14f,DEPENDS_ON,0,add
112,sa,6d61cc44,location,65,INSTALLED_AT,0,add
113,concentrator,18ce6022,port,68ac3cd6,HAS_PORT,0,add
114,cpe,6b967cff,port,68ac3cd6,DEPENDS_ON,0,add
115,cpe,6b967cff,trunk,26b8dd58,DEPENDS_ON,0,add
116,cpe,6b967cff,trunk,f0d10be5,DEPENDS_ON,0,add
117,sa,c95cfcae,cpe,6b967cff,DEPENDS_ON,0,add
118,sa,c95cfcae,location,61,INSTALLED_AT,0,add
119,concentrator,18ce6022,port,852b5044,HAS_PORT,0,add
120,cpe,8fe93439,port,852b5044,DEPENDS_ON,0,add
121,cpe,8fe93439,trunk,26b8dd58,DEPENDS_ON,0,add
122,cpe,8fe93439,trunk,f0d10be5,DEPENDS_ON,0,add
123,sa,b010b372,cpe,8fe93439,DEPENDS_ON,0,add
124,sa,b010b372,location,191,INSTALLED_AT,0,add
125,concentrator,18ce6022,port,6e9db4a1,HAS_PORT,0,add
126,cpe,e3e96eed,port,6e9db4a1,DEPENDS_ON,0,add
127,cpe,e3e96eed,trunk,26b8dd58,DEPENDS_ON,0,add
128,cpe,e3e96eed,trunk,f0d10be5,DEPENDS_ON,0,add
129,sa,aa933684,cpe,e3e96eed,DEPENDS_ON,0,add
130,sa,aa933684,location,447,INSTALLED_AT,0,add
131,concentrator,18ce6022,port,cbdad1fe,HAS_PORT,0,add
132,cpe,7f99de4f,port,cbdad1fe,DEPENDS_ON,0,add
133,cpe,7f99de4f,trunk,26b8dd58,DEPENDS_ON,0,add
134,cpe,7f99de4f,trunk,f0d10be5,DEPENDS_ON,0,add
135,sa,b07ffd55,cpe,7f99de4f,DEPENDS_ON,0,add
136,sa,b07ffd55,location,476,INSTALLED_AT,0,add
137,concentrator,18ce6022,port,1a979476,HAS_PORT,0,add
138,cpe,685a7929,port,1a979476,DEPENDS_ON,0,add
139,cpe,685a7929,trunk,26b8dd58,DEPENDS_ON,0,add
140,cpe,685a7929,trunk,f0d10be5,DEPENDS_ON,0,add
141,sa,f298567b,cpe,685a7929,DEPENDS_ON,0,add
142,sa,f298567b,location,1034,INSTALLED_AT,0,add
143,concentrator,18ce6022,port,7ee2a8a3,HAS_PORT,0,add
144,cpe,8c922ea2,port,7ee2a8a3,DEPENDS_ON,0,add
145,cpe,8c922ea2,trunk,26b8dd58,DEPENDS_ON,0,add
146,cpe,8c922ea2,trunk,f0d10be5,DEPENDS_ON,0,add
147,sa,f7ebded7,cpe,8c922ea2,DEPENDS_ON,0,add
148,sa,f7ebded7,location,1232,INSTALLED_AT,0,add
149,concentrator,18ce6022,port,4ed8a965,HAS_PORT,0,add
150,cpe,02ad284b,port,4ed8a965,DEPENDS_ON,0,add
151,cpe,02ad284b,trunk,26b8dd58,DEPENDS_ON,0,add
152,cpe,02ad284b,trunk,f0d10be5,DEPENDS_ON,0,add
153,sa,d658d7df,cpe,02ad284b,DEPENDS_ON,0,add
154,sa,d658d7df,location,54,INSTALLED_AT,0,add
155,concentrator,18ce6022,port,096ada2f,HAS_PORT,0,add
156,cpe,b024dfd8,port,096ada2f,DEPENDS_ON,0,add
157,cpe,b024dfd8,trunk,26b8dd58,DEPENDS_ON,0,add
158,cpe,b024dfd8,trunk,f0d10be5,DEPENDS_ON,0,add
159,sa,3148e795,cpe,b024dfd8,DEPENDS_ON,0,add
160,sa,3148e795,location,1149,INSTALLED_AT,0,add
161,concentrator,18ce6022,port,4ba58f9a,HAS_PORT,0,add
162,cpe,1adc7d5a,port,4ba58f9a,DEPENDS_ON,0,add
163,cpe,1adc7d5a,trunk,26b8dd58,DEPENDS_ON,0,add
164,cpe,1adc7d5a,trunk,f0d10be5,DEPENDS_ON,0,add
165,sa,4a0cf2ce,cpe,1adc7d5a,DEPENDS_ON,0,add
166,sa,4a0cf2ce,location,407,INSTALLED_AT,0,add
167,concentrator,18ce6022,port,a310c155,HAS_PORT,0,add
168,cpe,a07e6587,port,a310c155,DEPENDS_ON,0,add
169,cpe,a07e6587,trunk,26b8dd58,DEPENDS_ON,0,add
170,cpe,a07e6587,trunk,f0d10be5,DEPENDS_ON,0,add
171,sa,e01b5538,cpe,a07e6587,DEPENDS_ON,0,add
172,sa,e01b5538,location,1466,INSTALLED_AT,0,add
173,concentrator,18ce6022,port,5d09f37d,HAS_PORT,0,add
174,cpe,050fb097,port,5d09f37d,DEPENDS_ON,0,add
175,cpe,050fb097,trunk,26b8dd58,DEPENDS_ON,0,add
176,cpe,050fb097,trunk,f0d10be5,DEPENDS_ON,0,add
177,sa,7c014e2b,cpe,050fb097,DEPENDS_ON,0,add
178,sa,7c014e2b,location,1330,INSTALLED_AT,0,add
179,concentrator,18ce6022,port,c36bf422,HAS_PORT,0,add
180,cpe,41a83289,port,c36bf422,DEPENDS_ON,0,add
181,cpe,41a83289,trunk,26b8dd58,DEPENDS_ON,0,add
182,cpe,41a83289,trunk,f0d10be5,DEPENDS_ON,0,add
183,sa,bdcd459b,cpe,41a83289,DEPENDS_ON,0,add
184,sa,bdcd459b,location,1436,INSTALLED_AT,0,add
185,concentrator,18ce6022,port,d91d4601,HAS_PORT,0,add
186,cpe,0519783a,port,d91d4601,DEPENDS_ON,0,add
187,cpe,0519783a,trunk,26b8dd58,DEPENDS_ON,0,add
188,cpe,0519783a,trunk,f0d10be5,DEPENDS_ON,0,add
189,sa,3b67efd9,cpe,0519783a,DEPENDS_ON,0,add
190,sa,3b67efd9,location,1116,INSTALLED_AT,0,add
191,concentrator,18ce6022,port,10efdcfb,HAS_PORT,0,add
192,cpe,eae64453,port,10efdcfb,DEPENDS_ON,0,add
193,cpe,eae64453,trunk,26b8dd58,DEPENDS_ON,0,add
194,cpe,eae64453,trunk,f0d10be5,DEPENDS_ON,0,add
195,sa,757d437a,cpe,eae64453,DEPENDS_ON,0,add
