ID,src_label,src_id,dst_label,dst_id,label,timestamp,event_type
1,bng,5a179f6b,trunk,8e25ffdb,HAS_PORT,0,add
2,bng,b1cf2c23,trunk,5da41dda,HAS_PORT,0,add
3,concentrator,09e50146,trunk,8e25ffdb,DEPENDS_ON,0,add
4,concentrator,09e50146,trunk,5da41dda,DEPENDS_ON,0,add
5,concentrator,09e50146,port,f00194ab,HAS_PORT,0,add
6,cpe,a4a63e1b,port,f00194ab,DEPENDS_ON,0,add
7,cpe,a4a63e1b,trunk,8e25ffdb,DEPENDS_ON,0,add
8,cpe,a4a63e1b,trunk,5da41dda,DEPENDS_ON,0,add
9,sa,87888ad1,cpe,a4a63e1b,DEPENDS_ON,0,add
10,sa,87888ad1,location,1309,INSTALLED_AT,0,add
11,concentrator,09e50146,port,956767ca,HAS_PORT,0,add
12,cpe,85ab3523,port,956767ca,DEPENDS_ON,0,add
13,cpe,85ab3523,trunk,8e25ffdb,DEPENDS_ON,0,add
14,cpe,85ab3523,trunk,5da41dda,DEPENDS_ON,0,add
15,sa,b832c6d5,cpe,85ab3523,DEPENDS_ON,0,add
16,sa,b832c6d5,location,228,INSTALLED_AT,0,add
17,concentrator,09e50146,port,017fa319,HAS_PORT,0,add
18,cpe,0ad69e26,port,017fa319,DEPENDS_ON,0,add
19,cpe,0ad69e26,trunk,8e25ffdb,DEPENDS_ON,0,add
20,cpe,0ad69e26,trunk,5da41dda,DEPENDS_ON,0,add
21,sa,3e340554,cpe,0ad69e26,DEPENDS_ON,0,add
22,sa,3e340554,location,51,INSTALLED_AT,0,add
23,concentrator,09e50146,port,7a543340,HAS_PORT,0,add
24,cpe,b7194a3d,port,7a543340,DEPENDS_ON,0,add
25,cpe,b7194a3d,trunk,8e25ffdb,DEPENDS_ON,0,add
26,cpe,b7194a3d,trunk,5da41dda,DEPENDS_ON,0,add
27,sa,0c960055,cpe,b7194a3d,DEPENDS_ON,0,add
28,sa,0c960055,location,1518,INSTALLED_AT,0,add
29,concentrator,09e50146,port,cb6ad8c7,HAS_PORT,0,add
30,cpe,6bf0f99f,port,cb6ad8c7,DEPENDS_ON,0,add
31,cpe,6bf0f99f,trunk,8e25ffdb,DEPENDS_ON,0,add
32,cpe,6bf0f99f,trunk,5da41dda,DEPENDS_ON,0,add
33,sa,935ef348,cpe,6bf0f99f,DEPENDS_ON,0,add
34,sa,935ef348,location,563,INSTALLED_AT,0,add
35,concentrator,09e50146,port,7eecb4b7,HAS_PORT,0,add
36,cpe,6b9c9a13,port,7eecb4b7,DEPENDS_ON,0,add
37,cpe,6b9c9a13,trunk,8e25ffdb,DEPENDS_ON,0,add
38,cpe,6b9c9a13,trunk,5da41dda,DEPENDS_ON,0,add
39,sa,6ce919ed,cpe,6b9c9a13,DEPENDS_ON,0,add
40,sa,6ce919ed,location,501,INSTALLED_AT,0,add
41,concentrator,09e50146,port,8fb5f264,HAS_PORT,0,add
42,cpe,28ffbf81,port,8fb5f264,DEPENDS_ON,0,add
43,cpe,28ffbf81,trunk,8e25ffdb,DEPENDS_ON,0,add
44,cpe,28ffbf81,trunk,5da41dda,DEPENDS_ON,0,add
45,sa,37fd0c11,cpe,28ffbf81,DEPENDS_ON,0,add
46,sa,37fd0c11,location,457,INSTALLED_AT,0,add
47,concentrator,09e50146,port,2469944e,HAS_PORT,0,add
48,cpe,8c53a56d,port,2469944e,DEPENDS_ON,0,add
49,cpe,8c53a56d,trunk,8e25ffdb,DEPENDS_ON,0,add
50,cpe,8c53a56d,trunk,5da41dda,DEPENDS_ON,0,add
51,sa,0bf87ce7,cpe,8c53a56d,DEPENDS_ON,0,add
52,sa,0bf87ce7,location,285,INSTALLED_AT,0,add
53,concentrator,09e50146,port,461e660e,HAS_PORT,0,add
54,cpe,7e8849ec,port,461e660e,DEPENDS_ON,0,add
55,cpe,7e8849ec,trunk,8e25ffdb,DEPENDS_ON,0,add
56,cpe,7e8849ec,trunk,5da41dda,DEPENDS_ON,0,add
57,sa,6fd07428,cpe,7e8849ec,DEPENDS_ON,0,add
58,sa,6fd07428,location,1508,INSTALLED_AT,0,add
59,concentrator,09e50146,port,fb530e49,HAS_PORT,0,add
60,cpe,0ad526b5,port,fb530e49,DEPENDS_ON,0,add
61,cpe,0ad526b5,trunk,8e25ffdb,DEPENDS_ON,0,add
62,cpe,0ad526b5,trunk,5da41dda,DEPENDS_ON,0,add
63,sa,18878cc4,cpe,0ad526b5,DEPENDS_ON,0,add
64,sa,18878cc4,location,209,INSTALLED_AT,0,add
65,concentrator,09e50146,port,3c340b6a,HAS_PORT,0,add
66,cpe,845cec80,port,3c340b6a,DEPENDS_ON,0,add
67,cpe,845cec80,trunk,8e25ffdb,DEPENDS_ON,0,add
68,cpe,845cec80,trunk,5da41dda,DEPENDS_ON,0,add
69,sa,7d677a87,cpe,845cec80,DEPENDS_ON,0,add
70,sa,7d677a87,location,1385,INSTALLED_AT,0,add
71,concentrator,09e50146,port,a9d842c8,HAS_PORT,0,add
72,cpe,c34301de,port,a9d842c8,DEPENDS_ON,0,add
73,cpe,c34301de,trunk,8e25ffdb,DEPENDS_ON,0,add
74,cpe,c34301de,trunk,5da41dda,DEPENDS_ON,0,add
75,sa,f719f4b8,cpe,c34301de,DEPENDS_ON,0,add
76,sa,f719f4b8,location,1516,INSTALLED_AT,0,add
77,concentrator,09e50146,port,f532c21c,HAS_PORT,0,add
78,cpe,13479278,port,f532c21c,DEPENDS_ON,0,add
79,cpe,13479278,trunk,8e25ffdb,DEPENDS_ON,0,add
80,cpe,13479278,trunk,5da41dda,DEPENDS_ON,0,add
81,sa,f71f87f4,cpe,13479278,DEPENDS_ON,0,add
82,sa,f71f87f4,location,1827,INSTALLED_AT,0,add
83,concentrator,09e50146,port,51e1246a,HAS_PORT,0,add
84,cpe,9ec10e99,port,51e1246a,DEPENDS_ON,0,add
85,cpe,9ec10e99,trunk,8e25ffdb,DEPENDS_ON,0,add
86,cpe,9ec10e99,trunk,5da41dda,DEPENDS_ON,0,add
87,sa,445b30c2,cpe,9ec10e99,DEPENDS_ON,0,add
88,sa,445b30c2,location,1116,INSTALLED_AT,0,add
89,concentrator,09e50146,port,74aa4761,HAS_PORT,0,add
90,cpe,8711f7f0,port,74aa4761,DEPENDS_ON,0,add
91,cpe,8711f7f0,trunk,8e25ffdb,DEPENDS_ON,0,add
92,cpe,8711f7f0,trunk,5da41dda,DEPENDS_ON,0,add
93,sa,9f77da5b,cpe,8711f7f0,DEPENDS_ON,0,add
94,sa,9f77da5b,location,178,INSTALLED_AT,0,add
95,concentrator,09e50146,port,4044fedd,HAS_PORT,0,add
96,cpe,74507c81,port,4044fedd,DEPENDS_ON,0,add
97,cpe,74507c81,trunk,8e25ffdb,DEPENDS_ON,0,add
98,cpe,74507c81,trunk,5da41dda,DEPENDS_ON,0,add
99,sa,78024aa6,cpe,74507c81,DEPENDS_ON,0,add
100,sa,78024aa6,location,1209,INSTALLED_AT,0,add
101,concentrator,09e50146,port,231475d9,HAS_PORT,0,add
102,cpe,4629a1ad,port,231475d9,DEPENDS_ON,0,add
103,cpe,4629a1ad,trunk,8e25ffdb,DEPENDS_ON,0,add
104,cpe,4629a1ad,trunk,5da41dda,DEPENDS_ON,0,add
105,sa,1e4a3239,cpe,4629a1ad,DEPENDS_ON,0,add
106,sa,1e4a3239,location,864,INSTALLED_AT,0,add
107,concentrator,09e50146,port,80d1d541,HAS_PORT,0,add
108,cpe,b63dbf88,port,80d1d541,DEPENDS_ON,0,add
109,cpe,b63dbf88,trunk,8e25ffdb,DEPENDS_ON,0,add
110,cpe,b63dbf88,trunk,5da41dda,DEPENDS_ON,0,add
111,sa,9354128f,cpe,b63dbf88,DEPENDS_ON,0,add
112,sa,9354128f,location,65,INSTALLED_AT,0,add
113,concentrator,09e50146,port,219457fb,HAS_PORT,0,add
